datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
31/01/14,127.69000000000001,99.09000000000005,152.09999999999997,878.0300000000002,354,50,112,48.2
28/02/14,133.32,126.0500000000001,176.99999999999997,1001.9000000000001,347,31,122,36.2
31/03/14,137.44000000000005,92.95000000000007,147.655,779.275,232,20,112,85.4
30/04/14,113.10000000000004,89.47500000000008,130.89999999999998,698.5,209,18,97,73.7
31/05/14,101.79000000000005,119.93300000000009,132.1,628.7800000000001,270,23,107,123.69999999999999
30/06/14,112.07000000000002,94.71000000000006,122.9,548.225,323,23,57,109.3
31/07/14,117.06000000000002,95.01000000000012,129.3,491.9,348,21,61,69.1
31/08/14,134.79000000000005,99.78,123.8,583.8499999999999,420,29,37,70.80000000000001
30/09/14,108.78000000000003,109.0940000000001,122.09999999999998,887.8199999999999,399,14,115,58.8
31/10/14,154.75000000000003,185.2410000000001,191.59999999999997,1856.8149999999994,472,30,182,74.5
30/11/14,138.08000000000004,100.86000000000004,142.7,723.8,489,19,112,45.2
31/12/14,131.90000000000003,121.40100000000004,111.12400000000001,1015.6600000000001,492,25,163,33.4
31/01/15,135.91000000000003,130.34900000000005,141,1044.2400000000002,463,24,177.25,42
28/02/15,115.71,123.73999999999997,131.83,953.252,243,9,208,47
31/03/15,156.04000000000005,129.38599999999997,133.8,1084.8500000000001,208,13,195,54
30/04/15,154.5,101.115,122.10000000000001,940.1700000000001,192,5,97,112
31/05/15,160.02,119.11700000000006,136.04,765.9000000000001,194,10,100,159.5
30/06/15,151.87000000000003,113.69,145.46,746.788,217,12,193,125.79999999999998
31/07/15,175.61000000000004,113.81000000000002,125.5,708.8280000000001,203,6,60,130.3
31/08/15,181.69000000000003,144.51900000000003,133.4,790.788,265.5,15,45,83.7
30/09/15,166.22000000000008,134.12200000000004,110.4,852.125,243.5,11,91,71
31/10/15,195.81000000000014,127.23099999999998,146.20000000000002,1574.3350000000007,222,8,184,72
30/11/15,152.78000000000006,128.233,145.90000000000003,1277.725,228,18,195,44
31/12/15,159.46000000000004,131.29100000000003,136.99999999999997,1258.3490000000002,286,28,231,41.73
31/01/16,171.65000000000006,128.402,172.49999999999997,1476.3240000000003,248,24,174,56.5
29/02/16,173.81000000000003,137.528,134.20000000000002,1224.8620000000003,239,20,245,58
31/03/16,156.64000000000004,180.5890000000001,148.4,1150.7000000000003,250,13,253,97.84
